;OBLEA;IP;MODELO;PROCESAR;PING;TTL;FECHA;CONTADOR;CONTADORBYN;CONTADORCOL;N_SERIE
62;P0065;128.30.13.14;B400;True;0,0;22,0;2022-12-29 08:57:31.898513;0;0;0;0
63;P0066;128.30.13.16;B400;True;0,0;23,0;2022-12-29 08:57:31.942442;0;0;0;0
64;P0067;128.0.13.2;3320;True;0,0;77,0;2022-12-29 08:57:32.042112;0;0;0;0
65;P0068;128.0.13.4;3320;True;0,0;3,0;2022-12-29 08:57:32.055170;0;0;0;0
66;P0069;128.0.13.6;3320;True;0,0;3,0;2022-12-29 08:57:32.069488;0;0;0;0
67;P0070;128.0.13.8;3320;True;0,0;18,0;2022-12-29 08:57:32.099486;0;0;0;0
68;P0071;128.0.13.10;3320;True;0,0;4,0;2022-12-29 08:57:32.115460;0;0;0;0
69;P0072;128.0.13.51;3320;True;0,0;22,0;2022-12-29 08:57:32.176696;0;0;0;0
70;P0073;128.0.13.13;3320;True;0,0;3,0;2022-12-29 08:57:32.191816;0;0;0;0
71;P0074;128.0.13.14;3320;True;0,0;18,0;2022-12-29 08:57:32.222006;0;0;0;0
72;P0075;128.0.13.16;3320;True;0,0;3,0;2022-12-29 08:57:32.235833;0;0;0;0
73;P0076;128.0.13.62;3320;True;0,0;5,0;2022-12-29 08:57:32.251604;0;0;0;0
74;P0077;128.0.13.19;3320;True;0,0;3,0;2022-12-29 08:57:32.266388;0;0;0;0
75;P0078;128.0.13.22;B400;True;0,0;4,0;2022-12-29 08:57:32.283486;0;0;0;0
76;P0079;128.91.13.10;3320;True;0,0;23,0;2022-12-29 08:57:32.327688;0;0;0;0
77;P0080;128.0.13.24;B400;True;0,0;1,0;2022-12-29 08:57:32.340723;0;0;0;0
78;P0081;128.0.13.25;B400;True;0,0;1,0;2022-12-29 08:57:32.353098;0;0;0;0
79;P0082;128.0.13.64;B400;True;0,0;1,0;2022-12-29 08:57:32.365007;0;0;0;0
80;P0083;128.74.13.30;B400;True;0,0;71,0;2022-12-29 08:57:32.449711;0;0;0;0
81;P0084;128.0.13.29;3320;True;0,0;1,0;2022-12-29 08:57:32.461791;0;0;0;0
82;P0085;128.0.13.30;B400;True;0,0;1,0;2022-12-29 08:57:32.474633;0;0;0;0
83;P0086;128.0.13.31;B400;True;11003,0;;2022-12-29 08:57:35.441559;0;0;0;0
84;P0087;128.0.13.32;B400;True;0,0;1,0;2022-12-29 08:57:35.454378;0;0;0;0
85;P0088;128.0.13.34;B400;True;0,0;1,0;2022-12-29 08:57:35.466277;0;0;0;0
86;P0089;128.0.13.37;B400;True;0,0;1,0;2022-12-29 08:57:35.477619;0;0;0;0
87;P0090;0;0;False;;;2022-12-29 08:57:46.839916;0;0;0;0
88;P0091;128.0.13.55;3320;True;0,0;30,0;2022-12-29 08:57:46.884618;0;0;0;0
89;P0092;128.0.13.40;B400;True;0,0;1,0;2022-12-29 08:57:46.900086;0;0;0;0
90;P0093;128.0.13.41;3320;True;0,0;9,0;2022-12-29 08:57:46.921157;0;0;0;0
91;P0094;128.0.13.44;3320;True;0,0;12,0;2022-12-29 08:57:46.943277;0;0;0;0
92;P0095;128.51.13.10;3615;True;11010,0;;2022-12-29 08:57:50.943463;0;0;0;0
