OBLEA;IP;LOCALIDAD;MODELO
P0152;128.0.13.111;PARANA;8900
P0153;128.0.13.113;PARANA;8900
P0154;;desconocido;
P0155;128.0.13.115;PARANA;8900
P0156;128.0.13.117;PARANA;8900
P0157;128.0.13.178;PARANA;8900
P0158;128.80.13.34;SAN SALVADOR;8900
P0159;128.0.13.174;PARANA;c500
P0160;128.0.13.169;PARANA;C500
P0161;128.0.13.171;PARANA;6500
P0162;128.0.13.172;PARANA;C500
P0163;128.0.13.173;PARANA;C500
P0164;128.70.13.50;CHAJARI;3260
P0165;128.0.13.190;PARANA;7225
P0166;128.0.13.191;PARANA;7225
P0167;128.0.13.192;PARANA;8880
P0168;128.0.13.193;PARANA;8880
P0169;128.0.13.194;PARANA;6505
P0170;128.10.13.50;CAPITAL FEDERAL;3320
P0171;128.10.13.51;CAPITAL FEDERAL;8900
P0172;128.94.13.10;CEIBAS;3615
P0173;128.31.13.10;MACIA;3320
P0174;128.0.13.181;PARANA;3320
P0175;128.0.13.9;PARANA;3320
P0176;128.0.13.183;PARANA;3615
P0177;128.0.13.175;PARANA;7225
P0178;128.0.13.195;PARANA;7225
P0179;128.0.13.182;PARANA;3615
P0180;128.0.13.176;PARANA;3320
P0181;128.50.13.70;URUGUAY;B400
P0182;;desconocido;
P0183;128.60.13.40;BASAVILBASO;7225
P0184;128.70.13.35;CHAJARI;7225
P0185;128.90.13.46;GUALEGUAY;7225
P0186;128.90.13.46;URUGUAY (NO ACEPTA TELNET 128.50.13.45);7225
P0187;128.0.13.12;PARANA;3320
P0188;128.0.13.184;PARANA;7225
P0189;128.20.13.22;CRESPO;7225
P0190;128.30.13.20;NOGOYA;3320
P0191;128.0.13.202;PARANA;B400
P0192;128.0.13.203;PARANA;3320
P0193;128.0.13.206;PARANA;7225
P0194;128.0.13.102;PARANA;7225
P0195;128.50.13.71;URUGUAY;B400
P0196;;desconocido;
P0197;128.0.13.92;PARANA;3320
P0198;128.70.13.30;CHAJARI;B400
P0199;128.0.13.57;PARANA;3615
P0200;128.0.13.23;PARANA;7845
P0201;128.50.13.185;URUGUAY;7225
P0202;128.0.13.186;PARANA;3320
P0203;;desconocido;
P0204;;desconocido;
P0205;128.0.13.231;PARANA;B400
P0206;128.0.13.162;PARANA;B615
P0207;128.0.13.148;PARANA;B400
P0208;128.0.13.164;PARANA;B400
P0209;128.0.13.205;PARANA;B400
P0210;128.0.13.210;PARANA;3610
P0211;128.0.13.42;PARANA;6655
P0212;128.0.13.43;PARANA;6655
P0213;128.0.13.43;PARANA (http://128.0.13.45/ NO ACEPTA TELNET);6655
P0214;128.0.13.46;PARANA;B405
P0215;128.0.13.47;PARANA;B405
