;Unnamed: 0;OBLEA;IP;LOCALIDAD;MODELO;PING;TTL;FECHA;CONTADOR;N_SERIE
53;53;P0054;128.60.13.12;BASAVILBASO;3320;0,0;20,0;2022-12-16 10:32:43.391193;" ""3223556573      """; 69034
54;54;P0055;128.60.13.14;BASAVILBASO;3320;0,0;27,0;2022-12-16 10:32:43.500014;" ""3223557235      """; 17488
55;55;P0056;128.60.13.16;BASAVILBASO;3320;0,0;32,0;2022-12-16 10:32:43.612948;" ""3223557278      """; 92960
56;56;P0057;128.24.13.4;DIAMANTE;3260;11003,0;;2022-12-16 09:22:01.486846;0;0
57;57;P0058;128.81.13.10;VILLAGUAY;3615;11003,0;;2022-12-16 09:22:04.541261;0;0
58;58;P0059;128.81.13.12;VILLAGUAY;3320;0,0;42,0;2022-12-16 10:32:43.769822;" ""3223556980      """; 9037
59;59;P0060;128.81.13.14;VILLAGUAY;3320;0,0;37,0;2022-12-16 10:32:43.878214;" ""3223557146      """; 46357
60;60;P0061;128.81.13.16;VILLAGUAY;3320;0,0;36,0;2022-12-16 10:32:44.019604;" ""3223556832      """; 18883
61;61;P0062;128.30.13.8;NOGOYA;B400;0,0;24,0;2022-12-16 10:32:44.022596;Falta SCRAP;0
62;62;P0063;128.30.13.10;NOGOYA;B400;0,0;26,0;2022-12-16 10:32:44.024714;Falta SCRAP;0
63;63;P0064;128.30.13.12;NOGOYA;B400;0,0;36,0;2022-12-16 10:32:44.024714;Falta SCRAP;0
64;64;P0065;128.30.13.14;NOGOYA;B400;0,0;26,0;2022-12-16 10:32:44.025578;Falta SCRAP;0
65;65;P0066;128.30.13.16;NOGOYA;B400;0,0;24,0;2022-12-16 10:32:44.025578;Falta SCRAP;0
66;66;P0067;128.0.13.2;PARANA;3320;0,0;18,0;2022-12-16 10:32:44.092038;" ""3223553787      """; 7595
67;67;P0068;128.0.13.4;PARANA;3320;0,0;4,0;2022-12-16 10:32:44.170554;" ""3223553809      """; 7975
68;68;P0069;128.0.13.6;PARANA;3320;0,0;3,0;2022-12-16 10:32:44.250550;" ""3223553825      """; 72796
69;69;P0070;128.0.13.8;PARANA;3320;0,0;6,0;2022-12-16 10:32:44.319964;" ""3223553884      """; 4057
70;70;P0071;128.0.13.10;PARANA;3320;0,0;3,0;2022-12-16 10:32:44.355871;" ""3223553906      """; 89800
71;71;P0072;128.0.13.51;PARANA;3320;0,0;9,0;2022-12-16 10:32:44.419477;" ""3223556603      """; 6074
72;72;P0073;128.0.13.13;PARANA;3320;0,0;3,0;2022-12-16 10:32:44.489838;" ""3223553965      """; 83707
73;73;P0074;128.0.13.14;PARANA;3320;0,0;11,0;2022-12-16 10:32:44.557104;" ""3223554015      """; 4437
74;74;P0075;128.0.13.16;PARANA;3320;0,0;3,0;2022-12-16 10:32:44.635887;" ""3223554058      """; 13403
75;75;P0076;128.0.13.62;PARANA;3320;0,0;6,0;2022-12-16 10:32:44.680798;" ""3223554074      """; 27046
76;76;P0077;128.0.13.19;PARANA;3320;0,0;3,0;2022-12-16 10:32:44.739848;" ""3223554104      """; 54741
77;77;P0078;128.0.13.22;PARANA;B400;0,0;1,0;2022-12-16 10:32:44.739848;Falta SCRAP;0
78;78;P0079;128.91.13.10;GUALEGUAYCHU;3320;0,0;23,0;2022-12-16 10:32:44.846893;" ""3223554147      """; 3542
79;79;P0080;128.0.13.24;PARANA;B400;0,0;0,0;2022-12-16 10:32:44.848842;Falta SCRAP;0
80;80;P0081;128.0.13.25;PARANA;B400;0,0;0,0;2022-12-16 10:32:44.850866;Falta SCRAP;0
81;81;P0082;128.0.13.64;PARANA;B400;0,0;0,0;2022-12-16 10:32:44.851864;Falta SCRAP;0
82;82;P0083;128.74.13.30;FELICIANO;B400;11003,0;;2022-12-16 09:22:08.224761;0;0
83;83;P0084;128.0.13.29;PARANA;3320;0,0;3,0;2022-12-16 10:32:44.911342;" ""3223554341      """; 56951
84;84;P0085;128.0.13.30;PARANA;B400;0,0;0,0;2022-12-16 10:32:44.911342;Falta SCRAP;0
85;85;P0086;128.0.13.31;PARANA;B400;0,0;1,0;2022-12-16 10:32:44.912340;Falta SCRAP;0
86;86;P0087;128.0.13.32;PARANA;B400;0,0;0,0;2022-12-16 10:32:44.912340;Falta SCRAP;0
87;87;P0088;128.0.13.34;PARANA;B400;0,0;0,0;2022-12-16 10:32:44.913337;Falta SCRAP;0
88;88;P0089;128.0.13.37;PARANA;B400;0,0;0,0;2022-12-16 10:32:44.913337;Falta SCRAP;0
89;89;P0090;;desconocido;;;;2022-12-16 09:22:19.687596;0;0
90;90;P0091;128.0.13.55;PARANA;3320;0,0;96,0;2022-12-16 10:32:44.977017;" ""3223556816      """; 4499
91;91;P0092;128.0.13.40;PARANA;B400;0,0;0,0;2022-12-16 10:32:44.978014;Falta SCRAP;0
92;92;P0093;128.0.13.41;PARANA;3320;0,0;11,0;2022-12-16 10:32:45.041634;" ""3223556999      """; 2258
93;93;P0094;128.0.13.44;PARANA;3320;0,0;25,0;2022-12-16 10:32:45.102401;" ""3223559122      """; 33382
94;94;P0095;128.51.13.10;COLON;3615;0,0;21,0;2022-12-16 10:32:45.296083;en desarrollo;113632 
95;95;P0096;128.51.13.12;COLON;B400;0,0;15,0;2022-12-16 10:32:45.299079;Falta SCRAP;0
96;96;P0097;128.51.13.14;COLON;B400;0,0;16,0;2022-12-16 10:32:45.301073;Falta SCRAP;0
97;97;P0098;128.83.13.5;LOS CHARRUAS;3260;11003,0;;2022-12-16 09:22:23.021611;0;0
98;98;P0099;128.0.13.59;PARANA;3320;0,0;22,0;2022-12-16 10:32:45.368206;" ""3223556743      """; 56624
99;99;P0100;128.35.13.10;VICTORIA;B405;0,0;30,0;2022-12-16 10:32:45.369203;Falta SCRAP;0
100;100;P0101;128.35.13.12;VICTORIA;B400;0,0;30,0;2022-12-16 10:32:45.370174;Falta SCRAP;0
101;101;P0102;128.35.13.14;VICTORIA;B400;0,0;31,0;2022-12-16 10:32:45.370174;Falta SCRAP;0
102;102;P0103;128.96.13.10;PARANACITO;3615;0,0;18,0;2022-12-16 10:32:45.576012;en desarrollo;66896 
103;103;P0104;128.96.13.12;PARANACITO;3320;0,0;19,0;2022-12-16 10:32:45.686187;" ""3223554279      """; 4071
104;104;P0105;128.96.13.14;PARANACITO;3260;11010,0;;2022-12-16 09:22:26.826314;0;0
105;105;P0106;128.90.13.10;GUALEGUAY;B405;0,0;17,0;2022-12-16 10:32:45.689177;Falta SCRAP;0
106;106;P0107;128.90.13.12;GUALEGUAY;3320;0,0;17,0;2022-12-16 10:32:45.750309;" ""3223556905      """; 66576
107;107;P0108;128.90.13.14;GUALEGUAY;3320;11010,0;;2022-12-16 09:22:30.810997;0;0
108;108;P0109;128.90.13.16;GUALEGUAY;3320;0,0;17,0;2022-12-16 10:32:45.810289;" ""3222117070      """; 69648
109;109;P0110;128.90.13.18;GUALEGUAY;3320;0,0;16,0;2022-12-16 10:32:45.907795;" ""3223557375      """; 8703
110;110;P0111;128.90.13.20;GUALEGUAY;3320;0,0;18,0;2022-12-16 10:32:46.013214;" ""3223557006      """; 59988
111;111;P0112;128.90.13.22;GUALEGUAY;;11010,0;;2022-12-16 09:22:34.801810;0;0
112;112;P0113;;desconocido;;;;2022-12-16 09:22:46.169807;0;0
113;113;P0114;;desconocido;;;;2022-12-16 09:22:48.470683;0;0
114;114;P0115;128.0.13.254;PARANA;3320;0,0;3,0;2022-12-16 10:32:46.075879;" ""3223556913      """; 83263
115;115;P0116;;desconocido;;;;2022-12-16 09:22:50.783827;0;0
116;116;P0117;128.80.13.20;SAN SALVADOR;B400;0,0;47,0;2022-12-16 10:32:46.076875;Falta SCRAP;0
117;117;P0118;128.80.13.22;SAN SALVADOR;7225;0,0;1282,0;2022-12-16 10:32:47.401055;en desarrollo;66203
118;118;P0119;128.80.13.24;SAN SALVADOR;B400;0,0;107,0;2022-12-16 10:32:47.401055;Falta SCRAP;0
119;119;P0120;128.80.13.26;SAN SALVADOR;B400;0,0;91,0;2022-12-16 10:32:47.402052;Falta SCRAP;0
120;120;P0121;128.80.13.28;SAN SALVADOR;B400;0,0;27,0;2022-12-16 10:32:47.402052;Falta SCRAP;0
121;121;P0122;128.80.13.30;SAN SALVADOR;B400;0,0;97,0;2022-12-16 10:32:47.403050;Falta SCRAP;0
122;122;P0123;128.0.13.129;PARANA;3615;0,0;1,0;2022-12-16 10:32:47.535416;en desarrollo;32379 
123;123;P0124;128.0.13.132;PARANA;3615;0,0;1,0;2022-12-16 10:32:47.671077;en desarrollo;42503 
124;124;P0125;128.0.13.133;PARANA;3615;0,0;1,0;2022-12-16 10:32:47.801455;en desarrollo;102289 
125;125;P0126;128.0.13.134;PARANA;3615;0,0;1,0;2022-12-16 10:32:47.918251;en desarrollo;26096 
126;126;P0127;128.95.13.10;IBICUY;3320;0,0;32,0;2022-12-16 10:32:48.050606;" ""3971164033      """; 11241
127;127;P0128;128.0.13.136;PARANA;3615;0,0;0,0;2022-12-16 10:32:48.165201;en desarrollo;126200 
128;128;P0129;128.0.13.137;PARANA;3615;0,0;1,0;2022-12-16 10:32:48.289195;en desarrollo;16246 
129;129;P0130;128.0.13.138;PARANA;3615;0,0;0,0;2022-12-16 10:32:48.404015;en desarrollo;32740 
130;130;P0131;128.0.13.139;PARANA;B405;0,0;0,0;2022-12-16 10:32:48.405013;Falta SCRAP;0
131;131;P0132;128.0.13.140;PARANA;3615;0,0;2,0;2022-12-16 10:32:48.532837;en desarrollo;71287 
132;132;P0133;128.0.13.141;PARANA;3615;0,0;0,0;2022-12-16 10:32:48.647195;en desarrollo;144602 
133;133;P0134;128.40.13.18;MARIA GRANDE;3615;0,0;25,0;2022-12-16 10:32:48.836838;en desarrollo;87695 
134;134;P0135;128.0.13.144;PARANA;3615;0,0;0,0;2022-12-16 10:32:48.953030;en desarrollo;182590 
135;135;P0136;128.0.13.146;PARANA;3615;0,0;6,0;2022-12-16 10:32:49.086351;en desarrollo;54511 
136;136;P0137;128.0.13.149;PARANA;3610;0,0;1,0;2022-12-16 10:32:49.209340;en desarrollo;39598 
137;137;P0138;128.0.13.151;PARANA;3610;0,0;0,0;2022-12-16 10:32:49.328709;en desarrollo;56818 
138;138;P0139;128.0.13.152;PARANA;3610;0,0;1,0;2022-12-16 10:32:49.455761;en desarrollo;11866 
139;139;P0140;128.0.13.155;PARANA;3610;0,0;1,0;2022-12-16 10:32:49.585336;en desarrollo;52500 
140;140;P0141;128.0.13.157;PARANA;3610;0,0;1,0;2022-12-16 10:32:49.698590;en desarrollo;56410 
141;141;P0142;128.0.13.158;PARANA;B405;0,0;1,0;2022-12-16 10:32:49.699587;Falta SCRAP;0
142;142;P0143;128.0.13.71;PARANA;8900;0,0;2,0;2022-12-16 10:32:50.635999;en desarrollo;89545
143;143;P0144;128.0.13.66;PARANA;B405;0,0;0,0;2022-12-16 10:32:50.635999;Falta SCRAP;0
144;144;P0145;128.0.13.165;PARANA;8900;0,0;35,0;2022-12-16 10:32:50.788396;en desarrollo;74198
145;145;P0146;;desconocido;;;;2022-12-16 09:22:55.239198;0;0
146;146;P0147;128.0.13.73;PARANA;3320;0,0;3,0;2022-12-16 10:32:50.861915;" ""3223579310      """; 81744
147;147;P0148;128.0.13.72;PARANA;B400;0,0;0,0;2022-12-16 10:32:50.862911;Falta SCRAP;0
148;148;P0149;128.0.13.103;PARANA;B405;0,0;0,0;2022-12-16 10:32:50.863879;Falta SCRAP;0
149;149;P0150;128.0.13.106;PARANA;8900;0,0;9,0;2022-12-16 10:32:50.989994;en desarrollo;144785
150;150;P0151;128.0.13.107;PARANA;8900;0,0;6,0;2022-12-16 10:32:51.097953;en desarrollo;232378
151;151;P0152;128.0.13.111;PARANA;8900;0,0;2,0;2022-12-16 10:32:51.275980;en desarrollo;37890
152;152;P0153;128.0.13.113;PARANA;8900;0,0;5,0;2022-12-16 10:32:51.521972;en desarrollo;101963
153;153;P0154;;desconocido;;;;2022-12-16 09:22:57.644229;0;0
154;154;P0155;128.0.13.115;PARANA;8900;0,0;4,0;2022-12-16 10:32:51.774301;en desarrollo;57797
155;155;P0156;128.0.13.117;PARANA;8900;0,0;13,0;2022-12-16 10:32:51.930107;en desarrollo;109460
156;156;P0157;128.0.13.178;PARANA;8900;0,0;4,0;2022-12-16 10:32:52.086549;en desarrollo;166788
157;157;P0158;128.80.13.34;SAN SALVADOR;8900;11003,0;;2022-12-16 09:23:00.760601;0;0
158;158;P0159;128.0.13.174;PARANA;c500;0,0;0,0;2022-12-16 10:32:52.087546;Falta SCRAP;0
159;159;P0160;128.0.13.169;PARANA;C500;0,0;0,0;2022-12-16 10:32:52.088544;Modelo No Definido;0
160;160;P0161;128.0.13.171;PARANA;6500;0,0;1,0;2022-12-16 10:32:52.199122;en desarrollo;10088 
161;161;P0162;128.0.13.172;PARANA;C500;0,0;0,0;2022-12-16 10:32:52.199122;Modelo No Definido;0
162;162;P0163;128.0.13.173;PARANA;C500;0,0;0,0;2022-12-16 10:32:52.200161;Modelo No Definido;0
163;163;P0164;128.70.13.50;CHAJARI;3260;11003,0;;2022-12-16 09:23:03.853639;0;0
164;164;P0165;128.0.13.190;PARANA;7225;0,0;4,0;2022-12-16 10:32:52.579935;en desarrollo;234311
165;165;P0166;128.0.13.191;PARANA;7225;0,0;12,0;2022-12-16 10:32:53.124188;en desarrollo;118921
166;166;P0167;128.0.13.192;PARANA;8880;0,0;6,0;2022-12-16 10:32:53.124188;Falta SCRAP;0
167;167;P0168;128.0.13.193;PARANA;8880;0,0;8,0;2022-12-16 10:32:53.125185;Falta SCRAP;0
168;168;P0169;128.0.13.194;PARANA;6505;0,0;1,0;2022-12-16 10:32:53.227887;en desarrollo;4665 
169;169;P0170;128.10.13.50;CAPITAL FEDERAL;3320;0,0;22,0;2022-12-16 10:32:53.333849;" ""3223554260      """; 1762
170;170;P0171;128.10.13.51;CAPITAL FEDERAL;8900;0,0;18,0;2022-12-16 10:32:54.230392;en desarrollo;57953
171;171;P0172;128.94.13.10;CEIBAS;3615;0,0;49,0;2022-12-16 10:32:54.427446;en desarrollo;49954 
172;172;P0173;128.31.13.10;MACIA;3320;0,0;56,0;2022-12-16 10:32:54.586526;" ""3971164084      """; 3901
173;173;P0174;128.0.13.181;PARANA;3320;0,0;1,0;2022-12-16 10:32:54.666437;" ""3971163894      """; 4519
174;174;P0175;128.0.13.9;PARANA;3320;0,0;3,0;2022-12-16 10:32:54.743276;" ""3971163320      """; 15869
175;175;P0176;128.0.13.183;PARANA;3615;0,0;2,0;2022-12-16 10:32:54.852471;en desarrollo;43280 
176;176;P0177;128.0.13.175;PARANA;7225;0,0;7,0;2022-12-16 10:32:55.586976;en desarrollo;57963
177;177;P0178;128.0.13.195;PARANA;7225;0,0;93,0;2022-12-16 10:32:57.674528;en desarrollo;158379
178;178;P0179;128.0.13.182;PARANA;3615;0,0;0,0;2022-12-16 10:32:57.787515;en desarrollo;67881 
179;179;P0180;128.0.13.176;PARANA;3320;11003,0;;2022-12-16 09:23:05.808820;0;0
180;180;P0181;128.50.13.70;URUGUAY;B400;0,0;43,0;2022-12-16 10:32:57.788513;Falta SCRAP;0
181;181;P0182;;desconocido;;;;2022-12-16 09:23:17.186947;0;0
182;182;P0183;128.60.13.40;BASAVILBASO;7225;0,0;15,0;2022-12-16 10:32:58.650933;en desarrollo;73245
183;183;P0184;128.70.13.35;CHAJARI;7225;0,0;1231,0;2022-12-16 10:32:59.431082;en desarrollo;87946
184;184;P0185;128.90.13.46;GUALEGUAY;7225;0,0;18,0;2022-12-16 10:32:59.857311;en desarrollo;53735
185;185;P0186;128.90.13.46;URUGUAY (NO ACEPTA TELNET 128.50.13.45);7225;0,0;16,0;2022-12-16 10:33:00.079678;en desarrollo;53735
186;186;P0187;128.0.13.12;PARANA;3320;11003,0;;2022-12-16 09:23:19.807110;0;0
187;187;P0188;128.0.13.184;PARANA;7225;0,0;14,0;2022-12-16 10:33:00.646673;en desarrollo;12166
188;188;P0189;128.20.13.22;CRESPO;7225;11003,0;;2022-12-16 09:23:22.853533;0;0
189;189;P0190;128.30.13.20;NOGOYA;3320;0,0;26,0;2022-12-16 10:33:00.765665;" ""3971163363      """; 5497
190;190;P0191;128.0.13.202;PARANA;B400;0,0;0,0;2022-12-16 10:33:00.766661;Falta SCRAP;0
191;191;P0192;128.0.13.203;PARANA;3320;0,0;6,0;2022-12-16 10:33:00.807577;" ""3971164092      """; 15786
192;192;P0193;128.0.13.206;PARANA;7225;0,0;85,0;2022-12-16 10:33:01.357993;en desarrollo;113861
193;193;P0194;128.0.13.102;PARANA;7225;0,0;4,0;2022-12-16 10:33:01.915669;en desarrollo;128784
194;194;P0195;128.50.13.71;URUGUAY;B400;0,0;11,0;2022-12-16 10:33:01.917667;Falta SCRAP;0
195;195;P0196;;desconocido;;;;2022-12-16 09:23:25.379971;0;0
196;196;P0197;128.0.13.92;PARANA;3320;11003,0;;2022-12-16 09:23:26.820867;0;0
197;197;P0198;128.70.13.30;CHAJARI;B400;0,0;20,0;2022-12-16 10:33:01.920657;Falta SCRAP;0
198;198;P0199;128.0.13.57;PARANA;3615;0,0;1,0;2022-12-16 10:33:02.038474;en desarrollo;126807 
