;OBLEA;IP;LOCALIDAD;MODELO;PING;TTL;FECHA;CONTADOR;N_SERIE
61;P0062;128.30.13.8;NOGOYA;B400;0,0;24,0;2022-12-16 09:22:04.729768;0;0
62;P0063;128.30.13.10;NOGOYA;B400;0,0;26,0;2022-12-16 09:22:04.766845;0;0
63;P0064;128.30.13.12;NOGOYA;B400;0,0;36,0;2022-12-16 09:22:04.824560;0;0
64;P0065;128.30.13.14;NOGOYA;B400;0,0;26,0;2022-12-16 09:22:04.862741;0;0
65;P0066;128.30.13.16;NOGOYA;B400;0,0;24,0;2022-12-16 09:22:04.898853;0;0
66;P0067;128.0.13.2;PARANA;3320;0,0;18,0;2022-12-16 09:22:04.929738;0;0
67;P0068;128.0.13.4;PARANA;3320;0,0;4,0;2022-12-16 09:22:04.944725;0;0
68;P0069;128.0.13.6;PARANA;3320;0,0;3,0;2022-12-16 09:22:04.958730;0;0
69;P0070;128.0.13.8;PARANA;3320;0,0;6,0;2022-12-16 09:22:04.977200;0;0
70;P0071;128.0.13.10;PARANA;3320;0,0;3,0;2022-12-16 09:22:04.992110;0;0
71;P0072;128.0.13.51;PARANA;3320;0,0;9,0;2022-12-16 09:22:05.012098;0;0
72;P0073;128.0.13.13;PARANA;3320;0,0;3,0;2022-12-16 09:22:05.026353;0;0
73;P0074;128.0.13.14;PARANA;3320;0,0;11,0;2022-12-16 09:22:05.049336;0;0
74;P0075;128.0.13.16;PARANA;3320;0,0;3,0;2022-12-16 09:22:05.063361;0;0
75;P0076;128.0.13.62;PARANA;3320;0,0;6,0;2022-12-16 09:22:05.081260;0;0
76;P0077;128.0.13.19;PARANA;3320;0,0;3,0;2022-12-16 09:22:05.096038;0;0
77;P0078;128.0.13.22;PARANA;B400;0,0;1,0;2022-12-16 09:22:05.109052;0;0
78;P0079;128.91.13.10;GUALEGUAYCHU;3320;0,0;23,0;2022-12-16 09:22:05.146988;0;0
79;P0080;128.0.13.24;PARANA;B400;0,0;0,0;2022-12-16 09:22:05.160001;0;0
80;P0081;128.0.13.25;PARANA;B400;0,0;0,0;2022-12-16 09:22:05.173916;0;0
81;P0082;128.0.13.64;PARANA;B400;0,0;0,0;2022-12-16 09:22:05.186883;0;0
82;P0083;128.74.13.30;FELICIANO;B400;11003,0;;2022-12-16 09:22:08.224761;0;0
83;P0084;128.0.13.29;PARANA;3320;0,0;3,0;2022-12-16 09:22:08.239315;0;0
84;P0085;128.0.13.30;PARANA;B400;0,0;0,0;2022-12-16 09:22:08.250643;0;0
85;P0086;128.0.13.31;PARANA;B400;0,0;1,0;2022-12-16 09:22:08.262782;0;0
86;P0087;128.0.13.32;PARANA;B400;0,0;0,0;2022-12-16 09:22:08.275747;0;0
87;P0088;128.0.13.34;PARANA;B400;0,0;0,0;2022-12-16 09:22:08.286717;0;0
88;P0089;128.0.13.37;PARANA;B400;0,0;0,0;2022-12-16 09:22:08.297680;0;0
89;P0090;;desconocido;;;;2022-12-16 09:22:19.687596;0;0
90;P0091;128.0.13.55;PARANA;3320;0,0;96,0;2022-12-16 09:22:19.802811;0;0
91;P0092;128.0.13.40;PARANA;B400;0,0;0,0;2022-12-16 09:22:19.814851;0;0
92;P0093;128.0.13.41;PARANA;3320;0,0;11,0;2022-12-16 09:22:19.837891;0;0
93;P0094;128.0.13.44;PARANA;3320;0,0;25,0;2022-12-16 09:22:19.875600;0;0
94;P0095;128.51.13.10;COLON;3615;0,0;21,0;2022-12-16 09:22:19.908806;0;0
95;P0096;128.51.13.12;COLON;B400;0,0;15,0;2022-12-16 09:22:19.936033;0;0
96;P0097;128.51.13.14;COLON;B400;0,0;16,0;2022-12-16 09:22:19.963266;0;0
97;P0098;128.83.13.5;LOS CHARRUAS;3260;11003,0;;2022-12-16 09:22:23.021611;0;0
98;P0099;128.0.13.59;PARANA;3320;0,0;22,0;2022-12-16 09:22:23.064791;0;0
99;P0100;128.35.13.10;VICTORIA;B405;0,0;30,0;2022-12-16 09:22:23.119123;0;0
100;P0101;128.35.13.12;VICTORIA;B400;0,0;30,0;2022-12-16 09:22:23.160857;0;0
101;P0102;128.35.13.14;VICTORIA;B400;0,0;31,0;2022-12-16 09:22:23.203502;0;0
102;P0103;128.96.13.10;PARANACITO;3615;0,0;18,0;2022-12-16 09:22:23.232803;0;0
103;P0104;128.96.13.12;PARANACITO;3320;0,0;19,0;2022-12-16 09:22:23.286263;0;0
104;P0105;128.96.13.14;PARANACITO;3260;11010,0;;2022-12-16 09:22:26.826314;0;0
105;P0106;128.90.13.10;GUALEGUAY;B405;0,0;17,0;2022-12-16 09:22:26.863173;0;0
106;P0107;128.90.13.12;GUALEGUAY;3320;0,0;17,0;2022-12-16 09:22:26.917625;0;0
107;P0108;128.90.13.14;GUALEGUAY;3320;11010,0;;2022-12-16 09:22:30.810997;0;0
108;P0109;128.90.13.16;GUALEGUAY;3320;0,0;17,0;2022-12-16 09:22:30.840065;0;0
109;P0110;128.90.13.18;GUALEGUAY;3320;0,0;16,0;2022-12-16 09:22:30.877233;0;0
110;P0111;128.90.13.20;GUALEGUAY;3320;0,0;18,0;2022-12-16 09:22:30.907635;0;0
111;P0112;128.90.13.22;GUALEGUAY;;11010,0;;2022-12-16 09:22:34.801810;0;0
112;P0113;;desconocido;;;;2022-12-16 09:22:46.169807;0;0
113;P0114;;desconocido;;;;2022-12-16 09:22:48.470683;0;0
114;P0115;128.0.13.254;PARANA;3320;0,0;3,0;2022-12-16 09:22:48.484385;0;0
115;P0116;;desconocido;;;;2022-12-16 09:22:50.783827;0;0
116;P0117;128.80.13.20;SAN SALVADOR;B400;0,0;47,0;2022-12-16 09:22:50.853586;0;0
117;P0118;128.80.13.22;SAN SALVADOR;7225;0,0;1282,0;2022-12-16 09:22:52.156967;0;0
118;P0119;128.80.13.24;SAN SALVADOR;B400;0,0;107,0;2022-12-16 09:22:52.298717;0;0
119;P0120;128.80.13.26;SAN SALVADOR;B400;0,0;91,0;2022-12-16 09:22:52.402487;0;0
120;P0121;128.80.13.28;SAN SALVADOR;B400;0,0;27,0;2022-12-16 09:22:52.442312;0;0
121;P0122;128.80.13.30;SAN SALVADOR;B400;0,0;97,0;2022-12-16 09:22:52.551438;0;0
122;P0123;128.0.13.129;PARANA;3615;0,0;1,0;2022-12-16 09:22:52.562473;0;0
123;P0124;128.0.13.132;PARANA;3615;0,0;1,0;2022-12-16 09:22:52.575723;0;0
124;P0125;128.0.13.133;PARANA;3615;0,0;1,0;2022-12-16 09:22:52.589421;0;0
125;P0126;128.0.13.134;PARANA;3615;0,0;1,0;2022-12-16 09:22:52.601368;0;0
126;P0127;128.95.13.10;IBICUY;3320;0,0;32,0;2022-12-16 09:22:52.654499;0;0
127;P0128;128.0.13.136;PARANA;3615;0,0;0,0;2022-12-16 09:22:52.665154;0;0
128;P0129;128.0.13.137;PARANA;3615;0,0;1,0;2022-12-16 09:22:52.679196;0;0
129;P0130;128.0.13.138;PARANA;3615;0,0;0,0;2022-12-16 09:22:52.691262;0;0
130;P0131;128.0.13.139;PARANA;B405;0,0;0,0;2022-12-16 09:22:52.703168;0;0
131;P0132;128.0.13.140;PARANA;3615;0,0;2,0;2022-12-16 09:22:52.718486;0;0
132;P0133;128.0.13.141;PARANA;3615;0,0;0,0;2022-12-16 09:22:52.728600;0;0
133;P0134;128.40.13.18;MARIA GRANDE;3615;0,0;25,0;2022-12-16 09:22:52.764937;0;0
134;P0135;128.0.13.144;PARANA;3615;0,0;0,0;2022-12-16 09:22:52.777290;0;0
135;P0136;128.0.13.146;PARANA;3615;0,0;6,0;2022-12-16 09:22:52.794541;0;0
136;P0137;128.0.13.149;PARANA;3610;0,0;1,0;2022-12-16 09:22:52.808330;0;0
137;P0138;128.0.13.151;PARANA;3610;0,0;0,0;2022-12-16 09:22:52.819615;0;0
138;P0139;128.0.13.152;PARANA;3610;0,0;1,0;2022-12-16 09:22:52.831143;0;0
139;P0140;128.0.13.155;PARANA;3610;0,0;1,0;2022-12-16 09:22:52.841890;0;0
140;P0141;128.0.13.157;PARANA;3610;0,0;1,0;2022-12-16 09:22:52.855529;0;0
141;P0142;128.0.13.158;PARANA;B405;0,0;1,0;2022-12-16 09:22:52.868676;0;0
142;P0143;128.0.13.71;PARANA;8900;0,0;2,0;2022-12-16 09:22:52.880609;0;0
143;P0144;128.0.13.66;PARANA;B405;0,0;0,0;2022-12-16 09:22:52.892537;0;0
144;P0145;128.0.13.165;PARANA;8900;0,0;35,0;2022-12-16 09:22:52.940982;0;0
145;P0146;;desconocido;;;;2022-12-16 09:22:55.239198;0;0
146;P0147;128.0.13.73;PARANA;3320;0,0;3,0;2022-12-16 09:22:55.254807;0;0
147;P0148;128.0.13.72;PARANA;B400;0,0;0,0;2022-12-16 09:22:55.265506;0;0
148;P0149;128.0.13.103;PARANA;B405;0,0;0,0;2022-12-16 09:22:55.277269;0;0
149;P0150;128.0.13.106;PARANA;8900;0,0;9,0;2022-12-16 09:22:55.298233;0;0
150;P0151;128.0.13.107;PARANA;8900;0,0;6,0;2022-12-16 09:22:55.315816;0;0
151;P0152;128.0.13.111;PARANA;8900;0,0;2,0;2022-12-16 09:22:55.329266;0;0
152;P0153;128.0.13.113;PARANA;8900;0,0;5,0;2022-12-16 09:22:55.344769;0;0
153;P0154;;desconocido;;;;2022-12-16 09:22:57.644229;0;0
154;P0155;128.0.13.115;PARANA;8900;0,0;4,0;2022-12-16 09:22:57.660228;0;0
155;P0156;128.0.13.117;PARANA;8900;0,0;13,0;2022-12-16 09:22:57.685071;0;0
156;P0157;128.0.13.178;PARANA;8900;0,0;4,0;2022-12-16 09:22:57.700231;0;0
157;P0158;128.80.13.34;SAN SALVADOR;8900;11003,0;;2022-12-16 09:23:00.760601;0;0
158;P0159;128.0.13.174;PARANA;c500;0,0;0,0;2022-12-16 09:23:00.772526;0;0
159;P0160;128.0.13.169;PARANA;C500;0,0;0,0;2022-12-16 09:23:00.783826;0;0
